作品ID	作品名	姓	名	文字遣い種別	分類番号	テキストファイルURL	順位スコア
000307	お伽草紙	太宰	治	新字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000035/files/307_ruby_3042.zip	51071
000308	桜桃	太宰	治	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000035/files/308_ruby_1623.zip	41555
000319	電報	黒島	伝治	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000037/files/319_ruby_22344.zip	0
000321	二老人	国木田	独歩	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000038/files/321_ruby_4292.zip	0
000322	源おじ	国木田	独歩	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000038/files/322_ruby_646.zip	0
000323	牛肉と馬鈴薯	国木田	独歩	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000038/files/323_ruby_352.zip	266
000324	非凡なる凡人	国木田	独歩	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000038/files/324_ruby_2371.zip	0
000325	疲労	国木田	独歩	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000038/files/325_ruby_4276.zip	0
000326	少年の悲哀	国木田	独歩	旧字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000038/files/326_ruby_5992.zip	0
000327	恋を恋する人	国木田	独歩	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000038/files/327_ruby_1970.zip	0
000328	窮死	国木田	独歩	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000038/files/328_ruby_4258.zip	0
000329	武蔵野	国木田	独歩	新字新仮名	NDC 914 915	https://www.aozora.gr.jp/cards/000038/files/329_ruby_5709.zip	35598
000330	怠惰屋の弟子入り	国木田	独歩	旧字旧仮名	NDC 953	https://www.aozora.gr.jp/cards/000038/files/330_ruby_1482.zip	0
000337	土曜夫人	織田	作之助	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000040/files/337_ruby_19630.zip	0
000340	地図に出てくる男女	吉行	エイスケ	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000043/files/340_ruby_34761.zip	0
000341	飛行機から墜ちるまで	吉行	エイスケ	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000043/files/341_ruby_34730.zip	0
000342	女百貨店	吉行	エイスケ	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000043/files/342_ruby_34713.zip	0
000343	大阪万華鏡	吉行	エイスケ	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000043/files/343_ruby_34720.zip	0
000344	戦争のファンタジイ	吉行	エイスケ	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000043/files/344_ruby_34786.zip	0
000345	新種族ノラ	吉行	エイスケ	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000043/files/345_ruby_34688.zip	0
000346	職業婦人気質	吉行	エイスケ	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000043/files/346_ruby_34691.zip	0
000348	文七元結	三遊亭	円朝	新字新仮名	NDC 779 913	https://www.aozora.gr.jp/cards/000989/files/348_ruby_6144.zip	0
000349	根岸お行の松　因果塚の由来	三遊亭	円朝	新字新仮名	NDC 779 913	https://www.aozora.gr.jp/cards/000989/files/349_ruby.zip	0
000350	真景累ヶ淵	三遊亭	円朝	新字新仮名	NDC 779 913	https://www.aozora.gr.jp/cards/000989/files/350_ruby_33175.zip	25
