作品ID	作品名	姓	名	文字遣い種別	分類番号	テキストファイルURL	順位スコア
003646	こがね丸	巌谷	小波	新字旧仮名	NDC K913	https://www.aozora.gr.jp/cards/000981/files/3646_ruby_5721.zip	74
003665	晋室の南渡と南方の開発	桑原	隲蔵	旧字旧仮名	NDC 222	https://www.aozora.gr.jp/cards/000372/files/3665_ruby_5995.zip	0
003666	東洋人の発明	桑原	隲蔵	旧字旧仮名	NDC 220 502	https://www.aozora.gr.jp/cards/000372/files/3666_ruby_3471.zip	0
003667	歴史上より観たる南支那の開発	桑原	隲蔵	旧字旧仮名	NDC 222	https://www.aozora.gr.jp/cards/000372/files/3667_ruby_6212.zip	0
003668	世界新秩序の原理	西田	幾多郎	新字新仮名	NDC 311	https://www.aozora.gr.jp/cards/000182/files/3668_txt_70011.zip	0
003681	三角と四角	巌谷	小波	その他	NDC K913	https://www.aozora.gr.jp/cards/000981/files/3681_ruby_20605.zip	0
003804	悪魔	芥川	竜之介	新字旧仮名	NDC 914	https://www.aozora.gr.jp/cards/000879/files/3804_ruby_27189.zip	53448
003829	地図にない街	橋本	五郎	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000900/files/3829_ruby_15600.zip	0
003830	硯友社の沿革	尾崎	紅葉	新字旧仮名	NDC 916	https://www.aozora.gr.jp/cards/000091/files/3830_ruby_16989.zip	0
004054	松と藤芸妓の替紋	三遊亭	円朝	新字新仮名	NDC 779 913	https://www.aozora.gr.jp/cards/000989/files/4054_ruby_19619.zip	0
004055	兵馬倥偬の人	塚原	渋柿園	旧字旧仮名	NDC 914	https://www.aozora.gr.jp/cards/000660/files/4055_ruby_6236.zip	0
004057	大菩薩峠	中里	介山	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000283/files/4057_ruby_4048.zip	0
004058	大菩薩峠	中里	介山	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000283/files/4058_ruby_4051.zip	0
004059	大菩薩峠	中里	介山	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000283/files/4059_ruby_4054.zip	0
004060	大菩薩峠	中里	介山	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000283/files/4060_ruby_4062.zip	0
004067	贋紙幣事件	甲賀	三郎	新字新仮名	NDC K913	https://www.aozora.gr.jp/cards/000260/files/4067_ruby_16756.zip	0
004069	計略二重戦	甲賀	三郎	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000260/files/4069_ruby_16755.zip	0
004070	二黒の巳	平出	修	新字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000080/files/4070_ruby_4215.zip	0
004071	公判	平出	修	新字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000080/files/4071_ruby_4212.zip	0
004072	瘢痕	平出	修	新字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000080/files/4072_ruby_4213.zip	0
004073	夜烏	平出	修	新字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000080/files/4073_ruby_4214.zip	0
004075	子供に化けた狐	野口	雨情	新字旧仮名	NDC K913	https://www.aozora.gr.jp/cards/000286/files/4075_ruby_13872.zip	0
004076	石川啄木と小奴	野口	雨情	新字旧仮名	NDC 914	https://www.aozora.gr.jp/cards/000286/files/4076_ruby_13873.zip	0
004077	仲のわるい姉妹	野口	雨情	新字旧仮名	NDC K913	https://www.aozora.gr.jp/cards/000286/files/4077_ruby_13874.zip	0
004078	虹の橋	野口	雨情	新字旧仮名	NDC K913	https://www.aozora.gr.jp/cards/000286/files/4078_ruby_13875.zip	0
004079	大利根八十里を溯る	野口	雨情	新字旧仮名	NDC 911	https://www.aozora.gr.jp/cards/000286/files/4079_ruby_13876.zip	0
004080	黄金の甕	野口	雨情	新字旧仮名	NDC K913	https://www.aozora.gr.jp/cards/000286/files/4080_ruby_13877.zip	0
004081	札幌時代の石川啄木	野口	雨情	新字旧仮名	NDC 914	https://www.aozora.gr.jp/cards/000286/files/4081_ruby_13878.zip	0
004082	つね子さんと兎	野口	雨情	新字旧仮名	NDC K913	https://www.aozora.gr.jp/cards/000286/files/4082_ruby_13879.zip	0
004083	少女と海鬼灯	野口	雨情	新字旧仮名	NDC K913	https://www.aozora.gr.jp/cards/000286/files/4083_ruby_13880.zip	0
004084	エミイル・ゾラの文学方法論	平林	初之輔	新字旧仮名	NDC 901	https://www.aozora.gr.jp/cards/000221/files/4084_ruby_7765.zip	0
004088	青草	十一谷	義三郎	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000601/files/4088_ruby_5542.zip	0
004089	橋	池谷	信三郎	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000398/files/4089_ruby_6972.zip	0
004091	世界怪談名作集	岡本	綺堂	新字新仮名	NDC 933 908	https://www.aozora.gr.jp/cards/001066/files/4091_ruby_7644.zip	7636
004093	五大堂	田沢	稲舟	新字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000904/files/4093_ruby_21321.zip	0
004097	雲は天才である	石川	啄木	旧字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000153/files/4097_ruby_7978.zip	0
004106	大阪発見	織田	作之助	新字新仮名	NDC 914	https://www.aozora.gr.jp/cards/000040/files/4106_ruby_7694.zip	111
004144	計画	平出	修	新字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000080/files/4144_ruby_4216.zip	0
004145	逆徒	平出	修	新字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000080/files/4145_ruby_4217.zip	0
004146	畜生道	平出	修	新字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000080/files/4146_ruby_4218.zip	0
004155	人を殺す犬	小林	多喜二	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000156/files/4155_ruby_17541.zip	0
004156	雪の夜	小林	多喜二	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000156/files/4156_ruby_17540.zip	0
004251	犬	アンドレーエフ	レオニード・ニコラーエヴィチ	新字新仮名	NDC 983	https://www.aozora.gr.jp/cards/000907/files/4251_ruby_12064.zip	0
004253	赤とんぼ	新美	南吉	新字新仮名	NDC K913	https://www.aozora.gr.jp/cards/000121/files/4253_ruby_9742.zip	656
004254	船中八策	坂本	竜馬	新字旧仮名	NDC 311	https://www.aozora.gr.jp/cards/000908/files/4254_ruby_16726.zip	18802
004261	マリー・ロジェエの怪事件	佐々木	直次郎	新字新仮名	NDC 933	https://www.aozora.gr.jp/cards/000094/files/4261_ruby_54182.zip	2721
004262	散歩	水野	仙子	新字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000112/files/4262_ruby_15310.zip	0
004263	脱殻	水野	仙子	新字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000112/files/4263_ruby_15311.zip	0
004266	探偵小説の魅力	南部	修太郎	旧字旧仮名	NDC 901 914	https://www.aozora.gr.jp/cards/000048/files/4266_ruby_6361.zip	0
004269	元時代の蒙古人	桑原	隲蔵	旧字旧仮名	NDC 222	https://www.aozora.gr.jp/cards/000372/files/4269_ruby_6221.zip	0
004270	支那人の食人肉風習	桑原	隲蔵	旧字旧仮名	NDC 222	https://www.aozora.gr.jp/cards/000372/files/4270_ruby_6209.zip	0
004271	支那人弁髪の歴史	桑原	隲蔵	旧字旧仮名	NDC 222	https://www.aozora.gr.jp/cards/000372/files/4271_ruby_6215.zip	0
004272	支那の宦官	桑原	隲蔵	旧字旧仮名	NDC 222	https://www.aozora.gr.jp/cards/000372/files/4272_ruby_6206.zip	0
004284	大震火災記	鈴木	三重吉	新字新仮名	NDC K916	https://www.aozora.gr.jp/cards/000107/files/4284_ruby_5496.zip	0
004285	冬を迎へようとして	水野	仙子	旧字旧仮名	NDC 915	https://www.aozora.gr.jp/cards/000112/files/4285_ruby_7815.zip	0
004297	粟田口霑笛竹（澤紫ゆかりの咲分）	条野	採菊	新字新仮名	NDC 779 913 914	https://www.aozora.gr.jp/cards/001551/files/4297_ruby_40460.zip	0
004298	霧陰伊香保湯煙	三遊亭	円朝	新字新仮名	NDC 779 913	https://www.aozora.gr.jp/cards/000989/files/4298_ruby_35276.zip	0
004299	小国寡民	河上	肇	新字旧仮名	NDC 914	https://www.aozora.gr.jp/cards/000250/files/4299_ruby_14334.zip	0
004300	香水紳士	大阪	圭吉	新字新仮名	NDC K913	https://www.aozora.gr.jp/cards/000236/files/4300_ruby_6029.zip	306
004309	婦人の天職	堺	利彦	新字新仮名	NDC 914	https://www.aozora.gr.jp/cards/000164/files/4309_ruby_5760.zip	0
004310	赤旗事件の回顧	堺	利彦	新字新仮名	NDC 914	https://www.aozora.gr.jp/cards/000164/files/4310_ruby_5761.zip	0
004314	東西交通史上より観たる日本の開発	桑原	隲蔵	旧字旧仮名	NDC 222	https://www.aozora.gr.jp/cards/000372/files/4314_ruby_6218.zip	0
004316	嫂	素木	しづ	新字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000012/files/4316_ruby_20976.zip	0
004317	人外魔境	小栗	虫太郎	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000125/files/4317_ruby_9651.zip	0
004324	死刑の前	幸徳	秋水	新字新仮名	NDC 309 916	https://www.aozora.gr.jp/cards/000261/files/4324_ruby_13973.zip	0
004328	クリスマス・カロル	ディケンズ	チャールズ	新字新仮名	NDC 933	https://www.aozora.gr.jp/cards/000914/files/4328_ruby_7734.zip	41227
004329	明治美人伝	長谷川	時雨	新字新仮名	NDC 281	https://www.aozora.gr.jp/cards/000726/files/4329_ruby_28170.zip	0
004330	明治大正美人追憶	長谷川	時雨	新字新仮名	NDC 281	https://www.aozora.gr.jp/cards/000726/files/4330_ruby_28169.zip	0
004331	努力論	幸田	露伴	旧字旧仮名	NDC 914 159	https://www.aozora.gr.jp/cards/000051/files/4331_ruby_42047.zip	41
004332	女の一生	森本	薫	新字新仮名	NDC 912	https://www.aozora.gr.jp/cards/000827/files/4332_ruby_20640.zip	0
004348	放翁鑑賞	河上	肇	新字旧仮名	NDC 921	https://www.aozora.gr.jp/cards/000250/files/4348_ruby_15490.zip	0
004353	旧聞日本橋	長谷川	時雨	新字新仮名	NDC 914	https://www.aozora.gr.jp/cards/000310/files/4353_ruby_9538.zip	0
004354	旧聞日本橋	長谷川	時雨	新字新仮名	NDC 914	https://www.aozora.gr.jp/cards/000726/files/4354_ruby_9539.zip	0
004355	石ころ路	田畑	修一郎	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000273/files/4355_ruby_10196.zip	0
004362	政治的価値と芸術的価値	平林	初之輔	新字旧仮名	NDC 901	https://www.aozora.gr.jp/cards/000221/files/4362_txt_16730.zip	0
004363	踊る地平線	谷	譲次	新字新仮名	NDC 913 915	https://www.aozora.gr.jp/cards/000272/files/4363_ruby_5763.zip	0
004364	踊る地平線	谷	譲次	新字新仮名	NDC 913 915	https://www.aozora.gr.jp/cards/000272/files/4364_ruby_5762.zip	0
004365	踊る地平線	谷	譲次	新字新仮名	NDC 913 915	https://www.aozora.gr.jp/cards/000272/files/4365_ruby_8007.zip	0
004366	踊る地平線	谷	譲次	新字新仮名	NDC 913 915	https://www.aozora.gr.jp/cards/000272/files/4366_ruby_8009.zip	0
004367	踊る地平線	谷	譲次	新字新仮名	NDC 913 915	https://www.aozora.gr.jp/cards/000272/files/4367_ruby_8011.zip	0
004368	踊る地平線	谷	譲次	新字新仮名	NDC 913 915	https://www.aozora.gr.jp/cards/000272/files/4368_ruby_8013.zip	0
004369	踊る地平線	谷	譲次	新字新仮名	NDC 913 915	https://www.aozora.gr.jp/cards/000272/files/4369_ruby_8015.zip	0
004370	踊る地平線	谷	譲次	新字新仮名	NDC 913 915	https://www.aozora.gr.jp/cards/000272/files/4370_ruby_8017.zip	0
004371	踊る地平線	谷	譲次	新字新仮名	NDC 913 915	https://www.aozora.gr.jp/cards/000272/files/4371_ruby_8019.zip	0
004372	踊る地平線	谷	譲次	新字新仮名	NDC 913 915	https://www.aozora.gr.jp/cards/000272/files/4372_ruby_8021.zip	0
004373	踊る地平線	谷	譲次	新字新仮名	NDC 913 915	https://www.aozora.gr.jp/cards/000272/files/4373_ruby_8023.zip	0
004374	踊る地平線	谷	譲次	新字新仮名	NDC 913 915	https://www.aozora.gr.jp/cards/000272/files/4374_ruby_8025.zip	0
004375	踊る地平線	谷	譲次	新字新仮名	NDC 913 915	https://www.aozora.gr.jp/cards/000272/files/4375_ruby_8027.zip	0
004376	即興詩人	アンデルセン	ハンス・クリスチャン	旧字旧仮名	NDC 949	https://www.aozora.gr.jp/cards/000019/files/4376_ruby_18828.zip	15356
004377	人生終に奈何	高山	樗牛	旧字旧仮名	NDC 914	https://www.aozora.gr.jp/cards/000271/files/4377_ruby_14458.zip	0
004378	一葉女史の「たけくらべ」を読みて	高山	樗牛	旧字旧仮名	NDC 914	https://www.aozora.gr.jp/cards/000271/files/4378_ruby_18569.zip	0
004381	清見寺の鐘声	高山	樗牛	旧字旧仮名	NDC 914	https://www.aozora.gr.jp/cards/000271/files/4381_ruby_14043.zip	0
004386	修道院の秋	南部	修太郎	旧字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000048/files/4386_ruby.zip	0
004387	日曜日から日曜日まで	南部	修太郎	旧字旧仮名	NDC 915	https://www.aozora.gr.jp/cards/000048/files/4387_txt_13532.zip	0
004388	死者の書	折口	信夫	新字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000933/files/4388_ruby_48056.zip	1655
004398	死者の書	折口	信夫	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000933/files/4398_ruby_14165.zip	2364
004399	外来語所感	九鬼	周造	新字新仮名	NDC 814 914	https://www.aozora.gr.jp/cards/000065/files/4399_ruby_11272.zip	0
004400	かれいの贈物	九鬼	周造	新字新仮名	NDC 121 914	https://www.aozora.gr.jp/cards/000065/files/4400_ruby_11276.zip	0
004401	祇園の枝垂桜	九鬼	周造	新字新仮名	NDC 914	https://www.aozora.gr.jp/cards/000065/files/4401_ruby_11282.zip	0
004402	偶然の産んだ駄洒落	九鬼	周造	新字新仮名	NDC 121 914	https://www.aozora.gr.jp/cards/000065/files/4402_ruby_11277.zip	0
004403	小唄のレコード	九鬼	周造	新字新仮名	NDC 768 914	https://www.aozora.gr.jp/cards/000065/files/4403_ruby_11278.zip	0
004404	伝統と進取	九鬼	周造	新字新仮名	NDC 914	https://www.aozora.gr.jp/cards/000065/files/4404_ruby_11279.zip	0
004407	世界怪談名作集	アンドレーエフ	レオニード・ニコラーエヴィチ	新字新仮名	NDC 983 908	https://www.aozora.gr.jp/cards/000907/files/4407_ruby_33356.zip	69
004411	岩波茂雄宛書簡	野呂	栄太郎	新字新仮名	NDC 915	https://www.aozora.gr.jp/cards/000287/files/4411_ruby_18141.zip	0
004412	岩波茂雄宛書簡	野呂	栄太郎	新字新仮名	NDC 915	https://www.aozora.gr.jp/cards/000287/files/4412_ruby_13619.zip	0
004413	加藤正宛書簡	野呂	栄太郎	新字新仮名	NDC 915	https://www.aozora.gr.jp/cards/000287/files/4413_ruby_13620.zip	0
004429	万葉集を読む	正岡	子規	旧字旧仮名	NDC 911	https://www.aozora.gr.jp/cards/000305/files/4429_ruby_18491.zip	1287
004430	万葉集巻十六	正岡	子規	旧字旧仮名	NDC 911	https://www.aozora.gr.jp/cards/000305/files/4430_ruby_18492.zip	718
004431	水野仙子さんの思ひ出	今井	邦子	旧字旧仮名	NDC 910	https://www.aozora.gr.jp/cards/000234/files/4431_ruby_11012.zip	0
004444	能楽論	野口	米次郎	新字旧仮名	NDC 773	https://www.aozora.gr.jp/cards/000939/files/4444_ruby_7692.zip	0
004445	よくぞ能の家に	観世	左近　二十四世	新字旧仮名	NDC 773	https://www.aozora.gr.jp/cards/000938/files/4445_txt_7690.zip	0
004446	石	尾崎	放哉	新字旧仮名	NDC 914	https://www.aozora.gr.jp/cards/000195/files/4446_txt_7696.zip	0
004447	石を積む	別所	梅之助	新字旧仮名	NDC 914	https://www.aozora.gr.jp/cards/000940/files/4447_ruby_7686.zip	0
004449	平野義太郎宛書簡	野呂	栄太郎	新字新仮名	NDC 915	https://www.aozora.gr.jp/cards/000287/files/4449_ruby_13731.zip	0
004450	平野義太郎宛書簡	野呂	栄太郎	新字新仮名	NDC 915	https://www.aozora.gr.jp/cards/000287/files/4450_ruby_13732.zip	0
004451	平野義太郎宛書簡	野呂	栄太郎	新字新仮名	NDC 915	https://www.aozora.gr.jp/cards/000287/files/4451_txt_13736.zip	0
004452	平野義太郎宛書簡	野呂	栄太郎	新字新仮名	NDC 915	https://www.aozora.gr.jp/cards/000287/files/4452_ruby_13735.zip	0
004453	平野義太郎宛書簡	野呂	栄太郎	新字新仮名	NDC 915	https://www.aozora.gr.jp/cards/000287/files/4453_ruby_13734.zip	0
004454	平野義太郎宛書簡	野呂	栄太郎	新字新仮名	NDC 915	https://www.aozora.gr.jp/cards/000287/files/4454_ruby_13737.zip	0
004455	平野義太郎宛書簡	野呂	栄太郎	新字新仮名	NDC 915	https://www.aozora.gr.jp/cards/000287/files/4455_txt_13733.zip	0
004456	平野義太郎宛書簡	野呂	栄太郎	新字新仮名	NDC 915	https://www.aozora.gr.jp/cards/000287/files/4456_ruby_13738.zip	0
004458	きもの	長谷川	時雨	新字旧仮名	NDC 914	https://www.aozora.gr.jp/cards/000726/files/4458_ruby_12225.zip	0
004460	諸家の芸術価値理論の批判	平林	初之輔	新字旧仮名	NDC 901	https://www.aozora.gr.jp/cards/000221/files/4460_txt_11955.zip	0
004470	遠野へ	水野	葉舟	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000941/files/4470_ruby_14515.zip	0
004471	月見草	水野	葉舟	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000941/files/4471_ruby_14516.zip	0
004472	旅からのはがき	水野	葉舟	新字新仮名	NDC 915	https://www.aozora.gr.jp/cards/000941/files/4472_ruby_14517.zip	0
004473	土淵村にての日記	水野	葉舟	新字新仮名	NDC 915	https://www.aozora.gr.jp/cards/000941/files/4473_ruby_14518.zip	0
004488	梅若七兵衛	三遊亭	円朝	新字新仮名	NDC 779 913	https://www.aozora.gr.jp/cards/000989/files/4488_ruby_13758.zip	0
004489	松の操美人の生埋	三遊亭	円朝	新字新仮名	NDC 779 913	https://www.aozora.gr.jp/cards/000989/files/4489_ruby_42584.zip	0
004491	北国の人	水野	葉舟	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000941/files/4491_ruby_14519.zip	0
004492	香油	水野	葉舟	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000941/files/4492_ruby_14520.zip	0
004493	帰途	水野	葉舟	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000941/files/4493_ruby_14521.zip	0
004494	黄昏	水野	葉舟	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000941/files/4494_ruby_14522.zip	0
004530	旧聞日本橋	長谷川	時雨	新字新仮名	NDC 914	https://www.aozora.gr.jp/cards/000726/files/4530_ruby_9550.zip	0
004531	旧聞日本橋	長谷川	時雨	新字新仮名	NDC 914	https://www.aozora.gr.jp/cards/000726/files/4531_ruby_9562.zip	0
004532	旧聞日本橋	長谷川	時雨	新字新仮名	NDC 914	https://www.aozora.gr.jp/cards/000726/files/4532_ruby_8540.zip	0
004533	旧聞日本橋	長谷川	時雨	新字新仮名	NDC 914	https://www.aozora.gr.jp/cards/000726/files/4533_ruby_8539.zip	0
004534	旧聞日本橋	長谷川	時雨	新字新仮名	NDC 914	https://www.aozora.gr.jp/cards/000726/files/4534_ruby_8541.zip	0
004535	旧聞日本橋	長谷川	時雨	新字新仮名	NDC 914	https://www.aozora.gr.jp/cards/000726/files/4535_ruby_8554.zip	0
004536	旧聞日本橋	長谷川	時雨	新字新仮名	NDC 914	https://www.aozora.gr.jp/cards/000726/files/4536_ruby_8558.zip	0
004537	旧聞日本橋	長谷川	時雨	新字新仮名	NDC 914	https://www.aozora.gr.jp/cards/000726/files/4537_ruby_8560.zip	0
004573	月夜	泉	鏡花	旧字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000050/files/4573_ruby_74011.zip	645
004577	三人の盲の話	泉	鏡花	旧字旧仮名		https://www.aozora.gr.jp/cards/000050/files/4577_ruby_76473.zip	613
004583	霰ふる	泉	鏡花	旧字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000050/files/4583_ruby_74367.zip	451
004603	美的生活を論ず	高山	樗牛	旧字旧仮名	NDC 701	https://www.aozora.gr.jp/cards/000271/files/4603_ruby_7317.zip	0
004618	神曲	ダンテ	アリギエリ	旧字旧仮名	NDC 971	https://www.aozora.gr.jp/cards/000961/files/4618_ruby_13198.zip	50284
004621	関東防空大演習を嗤う	桐生	悠々	新字新仮名	NDC 914	https://www.aozora.gr.jp/cards/000535/files/4621_ruby_15601.zip	0
004622	正義の国と人生	桐生	悠々	新字新仮名	NDC 914	https://www.aozora.gr.jp/cards/000535/files/4622_txt_15602.zip	0
004627	旅日記	二葉亭	四迷	新字旧仮名	NDC 915	https://www.aozora.gr.jp/cards/000006/files/4627_ruby_17006.zip	0
004632	霧の旅	吉江	喬松	旧字旧仮名	NDC 915	https://www.aozora.gr.jp/cards/000220/files/4632_ruby_16127.zip	0
004634	北信早春譜	野上	豊一郎	旧字旧仮名	NDC 915	https://www.aozora.gr.jp/cards/000963/files/4634_ruby_12237.zip	0
004640	伊良湖の旅	吉江	喬松	新字旧仮名	NDC 915	https://www.aozora.gr.jp/cards/000220/files/4640_ruby_16066.zip	0
004641	半七捕物帳	岡本	綺堂	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000082/files/4641_ruby_6313.zip	1791
004644	放翁鑑賞	河上	肇	新字旧仮名	NDC 921	https://www.aozora.gr.jp/cards/000250/files/4644_ruby_15596.zip	0
004645	鳥羽家の子供	田畑	修一郎	新字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000273/files/4645_ruby_19027.zip	0
004650	文学的自叙伝	牧野	信一	旧字旧仮名	NDC 914	https://www.aozora.gr.jp/cards/000183/files/4650_ruby_7606.zip	0
004659	塩原日記	岩野	泡鳴	旧字旧仮名	NDC 915	https://www.aozora.gr.jp/cards/000137/files/4659_ruby_15312.zip	0
004660	山を想ふ	水上	滝太郎	旧字旧仮名	NDC 291 914 915	https://www.aozora.gr.jp/cards/000800/files/4660_ruby_12239.zip	0
004661	滑川畔にて	嘉村	礒多	旧字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000249/files/4661_ruby_15313.zip	0
004662	箱根の山々	近松	秋江	旧字旧仮名	NDC 915	https://www.aozora.gr.jp/cards/000275/files/4662_ruby_15317.zip	0
004663	海郷風物記	木下	杢太郎	旧字旧仮名	NDC 914 915	https://www.aozora.gr.jp/cards/000120/files/4663_ruby_15314.zip	0
004664	湖水めぐり	野上	豊一郎	旧字旧仮名	NDC 915	https://www.aozora.gr.jp/cards/000963/files/4664_ruby_12235.zip	0
004665	道学先生の旅	戸川	秋骨	旧字旧仮名	NDC 915	https://www.aozora.gr.jp/cards/000669/files/4665_txt_15318.zip	0
004673	ガリバー旅行記	スウィフト	ジョナサン	新字新仮名	NDC K933	https://www.aozora.gr.jp/cards/000912/files/4673_ruby_7882.zip	56590
004691	三田社会科学研究会	野呂	栄太郎	新字新仮名	NDC 309	https://www.aozora.gr.jp/cards/000287/files/4691_ruby_14491.zip	0
004693	チャアリイは何処にいる	牧	逸馬	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000304/files/4693_ruby_23714.zip	0
004695	鳥影	石川	啄木	旧字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000153/files/4695_ruby_24745.zip	458
004702	京阪聞見録	木下	杢太郎	旧字旧仮名	NDC 915	https://www.aozora.gr.jp/cards/000120/files/4702_ruby_19305.zip	0
004703	山陰の風景	木下	利玄	旧字旧仮名	NDC 915	https://www.aozora.gr.jp/cards/000526/files/4703_ruby_19306.zip	0
004705	尹主事	金	史良	旧字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000252/files/4705_ruby_25016.zip	0
004706	蒲寿庚の事蹟	桑原	隲蔵	旧字旧仮名	NDC 222	https://www.aozora.gr.jp/cards/000372/files/4706_ruby_13572.zip	0
004713	別れたる妻に送る手紙	近松	秋江	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000275/files/4713_ruby_16267.zip	0
004715	湖光島影	近松	秋江	旧字旧仮名	NDC 915	https://www.aozora.gr.jp/cards/000275/files/4715_ruby_19304.zip	0
004718	二ひきの蛙	新美	南吉	新字新仮名	NDC K913	https://www.aozora.gr.jp/cards/000121/files/4718_ruby_13222.zip	136
004723	飴だま	新美	南吉	新字新仮名	NDC K913	https://www.aozora.gr.jp/cards/000121/files/4723_ruby_13208.zip	159
004728	白い壁	本庄	陸男	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000303/files/4728_ruby_10195.zip	0
004729	『尚書』の高等批評	白鳥	庫吉	新字新仮名	NDC 123	https://www.aozora.gr.jp/cards/000603/files/4729_ruby_17002.zip	0
004730	省察	デカルト	ルネ	旧字旧仮名	NDC 135	https://www.aozora.gr.jp/cards/001029/files/4730_txt_58052.zip	485
004731	酔ひたる商人	水野	仙子	旧字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000112/files/4731_ruby_8294.zip	0
004732	夜の浪	水野	仙子	旧字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000112/files/4732_txt_8060.zip	0
004733	犬の威厳	水野	仙子	旧字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000112/files/4733_txt_8059.zip	0
004736	浅間山麓	若杉	鳥子	新字新仮名	NDC 914	https://www.aozora.gr.jp/cards/000331/files/4736_ruby_9556.zip	0
004737	独り旅	若杉	鳥子	新字新仮名	NDC 914	https://www.aozora.gr.jp/cards/000331/files/4737_ruby_9558.zip	0
004738	旧師の家	若杉	鳥子	新字新仮名	NDC 914	https://www.aozora.gr.jp/cards/000331/files/4738_ruby_9557.zip	0
004744	関牧塲創業記事	関	寛	新字新仮名	NDC 642	https://www.aozora.gr.jp/cards/001026/files/4744_ruby_17979.zip	0
004793	マダム貞奴	長谷川	時雨	新字新仮名	NDC 281 772	https://www.aozora.gr.jp/cards/000726/files/4793_ruby_19507.zip	0
004797	人形の家	イプセン	ヘンリック	旧字旧仮名	NDC 949	https://www.aozora.gr.jp/cards/001028/files/4797_ruby_31735.zip	28104
004800	ほととぎす	堀	辰雄	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/001030/files/4800_ruby_14470.zip	129
004803	風立ちぬ	堀	辰雄	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/001030/files/4803_ruby_14149.zip	55296
004805	菜穂子	堀	辰雄	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/001030/files/4805_ruby_14296.zip	4387
004812	美しい村	堀	辰雄	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/001030/files/4812_ruby_14825.zip	1749
004814	燃ゆる頬	堀	辰雄	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/001030/files/4814_ruby_14373.zip	578
004820	神曲	ダンテ	アリギエリ	旧字旧仮名	NDC 971	https://www.aozora.gr.jp/cards/000961/files/4820_ruby_20538.zip	9855
004822	真珠夫人	菊池	寛	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000083/files/4822_ruby_53557.zip	1443
004823	小桜姫物語	浅野	和三郎	新字新仮名	NDC 147	https://www.aozora.gr.jp/cards/001034/files/4823_ruby_48360.zip	205
004826	霊訓	浅野	和三郎	新字新仮名	NDC 147	https://www.aozora.gr.jp/cards/001035/files/4826_ruby_30422.zip	0
004829	鳴雪自叙伝	内藤	鳴雪	新字新仮名	NDC 911	https://www.aozora.gr.jp/cards/000684/files/4829_ruby_34858.zip	0
