作品ID	作品名	姓	名	文字遣い種別	分類番号	テキストファイルURL
004803	風立ちぬ	堀	辰雄	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/001030/files/4803_ruby_14149.zip
004804	姨捨	堀	辰雄	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/001030/files/4804_ruby_14148.zip
004805	菜穂子	堀	辰雄	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/001030/files/4805_ruby_14296.zip
004806	大和路・信濃路	堀	辰雄	新字新仮名	NDC 915	https://www.aozora.gr.jp/cards/001030/files/4806_ruby_14471.zip
004807	雪の上の足跡	堀	辰雄	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/001030/files/4807_ruby_14155.zip
004808	三つの挿話	堀	辰雄	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/001030/files/4808_ruby_14387.zip
004809	花を持てる女	堀	辰雄	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/001030/files/4809_ruby_14365.zip
004810	朴の咲く頃	堀	辰雄	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/001030/files/4810_ruby_14389.zip
004811	恢復期	堀	辰雄	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/001030/files/4811_ruby_14377.zip
004812	美しい村	堀	辰雄	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/001030/files/4812_ruby_14825.zip
004813	麦藁帽子	堀	辰雄	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/001030/files/4813_ruby_14369.zip
004814	燃ゆる頬	堀	辰雄	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/001030/files/4814_ruby_14373.zip
004820	神曲	ダンテ	アリギエリ	旧字旧仮名	NDC 971	https://www.aozora.gr.jp/cards/000961/files/4820_ruby_20538.zip
004823	小桜姫物語	浅野	和三郎	新字新仮名	NDC 147	https://www.aozora.gr.jp/cards/001034/files/4823_ruby_48360.zip
004826	霊訓	浅野	和三郎	新字新仮名	NDC 147	https://www.aozora.gr.jp/cards/001035/files/4826_ruby_30422.zip
004829	鳴雪自叙伝	内藤	鳴雪	新字新仮名	NDC 911	https://www.aozora.gr.jp/cards/000684/files/4829_ruby_34858.zip
004839	桜さく島	竹久	夢二	新字旧仮名	NDC 911	https://www.aozora.gr.jp/cards/000212/files/4839_ruby_19248.zip
004840	桜さく島	竹久	夢二	新字旧仮名	NDC 911	https://www.aozora.gr.jp/cards/000212/files/4840_ruby_19249.zip
004841	後光殺人事件	小栗	虫太郎	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000125/files/4841_ruby_16998.zip
004850	邪宗門	北原	白秋	新字旧仮名	NDC 911	https://www.aozora.gr.jp/cards/000106/files/4850_ruby_13896.zip
004852	失念術講義	井上	円了	旧字旧仮名	NDC 141	https://www.aozora.gr.jp/cards/001021/files/4852_ruby_47458.zip
004859	気質と文章	南部	修太郎	旧字旧仮名	NDC 901	https://www.aozora.gr.jp/cards/000048/files/4859_ruby_7660.zip
004867	字で書いた漫画	谷	譲次	新字新仮名	NDC 914	https://www.aozora.gr.jp/cards/000272/files/4867_ruby_29011.zip
004868	認識論	三木	清	旧字旧仮名	NDC 121	https://www.aozora.gr.jp/cards/000218/files/4868_txt_26088.zip
004873	虚弱	三島	霜川	旧字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000022/files/4873_ruby_13475.zip
004874	昔の女	三島	霜川	旧字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000022/files/4874_ruby_13476.zip
004878	瓢作り	杉田	久女	新字旧仮名	NDC 914	https://www.aozora.gr.jp/cards/000606/files/4878_ruby_11002.zip
004879	夾竹桃の家の女	中島	敦	新字旧仮名	NDC 914	https://www.aozora.gr.jp/cards/000119/files/4879_ruby_11348.zip
004885	「別居」について	伊藤	野枝	新字新仮名	NDC 914	https://www.aozora.gr.jp/cards/000416/files/4885_txt_9738.zip
004886	母への追慕	上村	松園	新字新仮名	NDC 721	https://www.aozora.gr.jp/cards/000355/files/4886_txt_9739.zip
004889	直訴状	田中	正造	新字旧仮名	NDC 519 561	https://www.aozora.gr.jp/cards/000649/files/4889_txt_9291.zip
004890	非常歎願書	田中	正造	新字旧仮名	NDC 334	https://www.aozora.gr.jp/cards/000649/files/4890_txt_9293.zip
004891	土地兼併の罪悪	田中	正造	旧字旧仮名	NDC 517	https://www.aozora.gr.jp/cards/000649/files/4891_txt_9248.zip
004892	亡国に至るを知らざれば之即ち亡国の儀に付質問	田中	正造	旧字旧仮名	NDC 519 561	https://www.aozora.gr.jp/cards/000649/files/4892_txt_9245.zip
004907	明治十年前後	淡島	寒月	新字新仮名	NDC 914	https://www.aozora.gr.jp/cards/000388/files/4907_ruby_8533.zip
004908	銀座は昔からハイカラな所	淡島	寒月	新字新仮名	NDC 914	https://www.aozora.gr.jp/cards/000388/files/4908_ruby_8545.zip
004909	寺内の奇人団	淡島	寒月	新字新仮名	NDC 914	https://www.aozora.gr.jp/cards/000388/files/4909_ruby_8537.zip
004910	身毒丸	折口	信夫	新字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000933/files/4910_ruby_14172.zip
004920	科学の不思議	伊藤	野枝	新字旧仮名	NDC K404	https://www.aozora.gr.jp/cards/001049/files/4920_ruby_39154.zip
004944	亡び行く江戸趣味	淡島	寒月	新字新仮名	NDC 914	https://www.aozora.gr.jp/cards/000388/files/4944_ruby_8547.zip
004945	江戸の玩具	淡島	寒月	新字旧仮名	NDC 914	https://www.aozora.gr.jp/cards/000388/files/4945_ruby_8543.zip
004952	土俗玩具の話	淡島	寒月	新字新仮名	NDC 914	https://www.aozora.gr.jp/cards/000388/files/4952_ruby_8546.zip
004953	活動写真	淡島	寒月	新字新仮名	NDC 778 914	https://www.aozora.gr.jp/cards/000388/files/4953_ruby_8544.zip
004954	梵雲庵漫録	淡島	寒月	新字新仮名	NDC 914	https://www.aozora.gr.jp/cards/000388/files/4954_ruby_8538.zip
004955	諸国の玩具	淡島	寒月	新字新仮名	NDC 759 914	https://www.aozora.gr.jp/cards/000388/files/4955_ruby_8536.zip
004956	我が宗教観	淡島	寒月	新字新仮名	NDC 161	https://www.aozora.gr.jp/cards/000388/files/4956_ruby_8532.zip
004957	凧の話	淡島	寒月	新字新仮名	NDC 914	https://www.aozora.gr.jp/cards/000388/files/4957_ruby_8534.zip
004958	公益に有害の鉱業を停止せざるの儀に付質問書	田中	正造	旧字旧仮名	NDC 519 561	https://www.aozora.gr.jp/cards/000649/files/4958_txt_9246.zip
004959	月夜のあとさき	津村	信夫	新字新仮名	NDC 914	https://www.aozora.gr.jp/cards/000278/files/4959_ruby_9740.zip
004962	獄中消息	大杉	栄	新字新仮名	NDC 915	https://www.aozora.gr.jp/cards/000169/files/4962_ruby_10881.zip
004963	原爆詩集	峠	三吉	新字新仮名	NDC 911	https://www.aozora.gr.jp/cards/001053/files/4963_ruby_16044.zip
004964	入梅	久坂	葉子	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/001052/files/4964_ruby_18636.zip
004967	落ちてゆく世界	久坂	葉子	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/001052/files/4967_ruby_18634.zip
004968	灰色の記憶	久坂	葉子	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/001052/files/4968_ruby_18637.zip
004969	華々しき瞬間	久坂	葉子	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/001052/files/4969_ruby_18638.zip
004970	幾度目かの最期	久坂	葉子	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/001052/files/4970_ruby_18633.zip
004971	旧聞日本橋	長谷川	時雨	新字新仮名	NDC 914	https://www.aozora.gr.jp/cards/000726/files/4971_ruby_8753.zip
004972	旧聞日本橋	長谷川	時雨	新字新仮名	NDC 914	https://www.aozora.gr.jp/cards/000726/files/4972_ruby_8757.zip
004973	旧聞日本橋	長谷川	時雨	新字新仮名	NDC 914	https://www.aozora.gr.jp/cards/000726/files/4973_ruby_9213.zip
004985	南予枇杷行	河東	碧梧桐	新字旧仮名	NDC 915	https://www.aozora.gr.jp/cards/000510/files/4985_ruby_16965.zip
004986	水郷柳河	北原	白秋	新字旧仮名	NDC 914 915	https://www.aozora.gr.jp/cards/000106/files/4986_ruby_15801.zip
004987	耶馬渓の一夜	田山	花袋	新字旧仮名	NDC 915	https://www.aozora.gr.jp/cards/000214/files/4987_ruby_16966.zip
004989	屋久島紀行	林	芙美子	旧字旧仮名	NDC 915	https://www.aozora.gr.jp/cards/000291/files/4989_ruby_24106.zip
004990	沖縄の旅	浜田	青陵	旧字旧仮名	NDC 291 915	https://www.aozora.gr.jp/cards/001054/files/4990_ruby_20644.zip
004992	松浦あがた	蒲原	有明	新字旧仮名	NDC 915	https://www.aozora.gr.jp/cards/001055/files/4992_ruby_17194.zip
004995	東山時代における一縉紳の生活	原	勝郎	新字新仮名	NDC 210	https://www.aozora.gr.jp/cards/001037/files/4995_ruby_17349.zip
005001	曼珠沙華	斎藤	茂吉	新字新仮名	NDC 914	https://www.aozora.gr.jp/cards/001059/files/5001_ruby_14144.zip
005002	蚤	斎藤	茂吉	新字新仮名	NDC 914	https://www.aozora.gr.jp/cards/001059/files/5002_ruby_14141.zip
005003	支流	斎藤	茂吉	新字旧仮名	NDC 914	https://www.aozora.gr.jp/cards/001059/files/5003_ruby_14139.zip
005004	双葉山	斎藤	茂吉	新字旧仮名	NDC 914	https://www.aozora.gr.jp/cards/001059/files/5004_ruby_14143.zip
005006	木乃伊の口紅	田村	俊子	旧字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000655/files/5006_ruby_23904.zip
005007	唯物史観と現代の意識	三木	清	旧字旧仮名	NDC 121	https://www.aozora.gr.jp/cards/000218/files/5007_txt_47368.zip
005008	死の接吻	南部	修太郎	旧字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000048/files/5008_ruby_13477.zip
005009	山の湯雑記	折口	信夫	新字新仮名	NDC 914	https://www.aozora.gr.jp/cards/000933/files/5009_ruby_14188.zip
005010	筬の音	折口	信夫	新字旧仮名	NDC 914	https://www.aozora.gr.jp/cards/000933/files/5010_ruby_14174.zip
005011	鬼を追い払う夜	折口	信夫	新字新仮名	NDC 386	https://www.aozora.gr.jp/cards/000933/files/5011_ruby_14158.zip
005012	日本美	折口	信夫	新字旧仮名	NDC 701	https://www.aozora.gr.jp/cards/000933/files/5012_ruby_14176.zip
005013	門松のはなし	折口	信夫	新字旧仮名	NDC 386	https://www.aozora.gr.jp/cards/000933/files/5013_ruby_14160.zip
005016	源氏物語	紫式部		新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000052/files/5016_ruby_9746.zip
005017	源氏物語	紫式部		新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000052/files/5017_ruby_9752.zip
005018	源氏物語	紫式部		新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000052/files/5018_ruby_9754.zip
005019	源氏物語	紫式部		新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000052/files/5019_ruby_9761.zip
005020	源氏物語	紫式部		新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000052/files/5020_ruby_11253.zip
005021	源氏物語	紫式部		新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000052/files/5021_ruby_11106.zip
005022	源氏物語	紫式部		新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000052/files/5022_ruby_10211.zip
005023	源氏物語	紫式部		新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000052/files/5023_ruby_10174.zip
005024	源氏物語	紫式部		新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000052/files/5024_ruby_11084.zip
005025	源氏物語	紫式部		新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000052/files/5025_ruby_11635.zip
005026	源氏物語	紫式部		新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000052/files/5026_ruby_11637.zip
005027	源氏物語	紫式部		新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000052/files/5027_ruby_11269.zip
005028	源氏物語	紫式部		新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000052/files/5028_ruby_11649.zip
005029	源氏物語	紫式部		新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000052/files/5029_ruby_10176.zip
005030	源氏物語	紫式部		新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000052/files/5030_ruby_10218.zip
005031	源氏物語	紫式部		新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000052/files/5031_ruby_10220.zip
005032	源氏物語	紫式部		新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/000052/files/5032_ruby_10222.zip
005072	ドナウ源流行	斎藤	茂吉	新字新仮名	NDC 915	https://www.aozora.gr.jp/cards/001059/files/5072_ruby_38453.zip
005073	筆	斎藤	茂吉	新字旧仮名	NDC 914	https://www.aozora.gr.jp/cards/001059/files/5073_txt_38454.zip
005074	鯉	斎藤	茂吉	新字旧仮名	NDC 914	https://www.aozora.gr.jp/cards/001059/files/5074_ruby_14137.zip
005075	人麿の妻	斎藤	茂吉	新字旧仮名	NDC 914	https://www.aozora.gr.jp/cards/001059/files/5075_ruby_14142.zip
005076	『さびし』の伝統	斎藤	茂吉	新字旧仮名	NDC 911	https://www.aozora.gr.jp/cards/001059/files/5076_ruby_38456.zip
005077	リギ山上の一夜	斎藤	茂吉	新字新仮名	NDC 915	https://www.aozora.gr.jp/cards/001059/files/5077_ruby_38455.zip
005078	カフエ・ミネルワ	斎藤	茂吉	新字旧仮名	NDC 914	https://www.aozora.gr.jp/cards/001059/files/5078_ruby_38451.zip
005079	脱帽	斎藤	茂吉	新字旧仮名	NDC 914	https://www.aozora.gr.jp/cards/001059/files/5079_ruby_38452.zip
005080	呉秀三先生	斎藤	茂吉	新字新仮名	NDC 914	https://www.aozora.gr.jp/cards/001059/files/5080_ruby_14136.zip
005081	子規と野球	斎藤	茂吉	新字旧仮名	NDC 914	https://www.aozora.gr.jp/cards/001059/files/5081_ruby_14138.zip
005082	万葉秀歌	斎藤	茂吉	新字新仮名	NDC 911	https://www.aozora.gr.jp/cards/001059/files/5082_ruby_32225.zip
007939	自伝	三島	霜川	旧字旧仮名	NDC 914 916	https://www.aozora.gr.jp/cards/000022/files/7939_ruby_12221.zip
012612	詩と散文との間を行く発想法	折口	信夫	旧字旧仮名	NDC 901	https://www.aozora.gr.jp/cards/000933/files/12612_txt_14168.zip
012614	文学を愛づる心	折口	信夫	旧字旧仮名	NDC 901	https://www.aozora.gr.jp/cards/000933/files/12614_ruby_14182.zip
012616	文学に於ける虚構	折口	信夫	旧字旧仮名	NDC 901	https://www.aozora.gr.jp/cards/000933/files/12616_ruby_14181.zip
012618	好悪の論	折口	信夫	旧字旧仮名	NDC 914	https://www.aozora.gr.jp/cards/000933/files/12618_ruby_14163.zip
012620	水中の友	折口	信夫	旧字旧仮名	NDC 914	https://www.aozora.gr.jp/cards/000933/files/12620_ruby_14173.zip
012621	小説の予言者	折口	信夫	旧字旧仮名	NDC 914	https://www.aozora.gr.jp/cards/000933/files/12621_txt_14169.zip
012624	死者の書　続編（草稿）	折口	信夫	旧字旧仮名	NDC 913	https://www.aozora.gr.jp/cards/000933/files/12624_ruby_14166.zip
013202	『新訳源氏物語』初版の序	上田	敏	新字新仮名	NDC 913 914	https://www.aozora.gr.jp/cards/000235/files/13202_ruby_9290.zip
013203	久坂葉子の誕生と死亡	久坂	葉子	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/001052/files/13203_ruby_18635.zip
013204	商品としての近代小説	平林	初之輔	新字旧仮名	NDC 910	https://www.aozora.gr.jp/cards/000221/files/13204_ruby_16412.zip
013205	村々の祭り	折口	信夫	新字旧仮名	NDC 386	https://www.aozora.gr.jp/cards/000933/files/13205_ruby_14185.zip
013206	万葉集に現れた古代信仰	折口	信夫	新字旧仮名	NDC 901	https://www.aozora.gr.jp/cards/000933/files/13206_ruby_14183.zip
015937	「平家物語」ぬきほ（言文一致訳）	作者不詳		新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/001529/files/15937_ruby_34615.zip
015938	元禄時代小説第一巻「本朝二十不孝」ぬきほ（言文一致訳）	井原	西鶴	新字新仮名	NDC 913	https://www.aozora.gr.jp/cards/001216/files/15938_ruby_34613.zip
015956	唖娘スバー	タゴール	ラビンドラナート	新字新仮名	NDC 929	https://www.aozora.gr.jp/cards/001075/files/15956_ruby_27806.zip
015959	二つの短い話	ケネディ	パトリック	新字新仮名	NDC K933	https://www.aozora.gr.jp/cards/001299/files/15959_ruby_27801.zip
018326	熊の足跡	徳冨	蘆花	旧字旧仮名	NDC 915	https://www.aozora.gr.jp/cards/000280/files/18326_ruby_19199.zip
018327	東旭川村にて	島木	健作	旧字旧仮名	NDC 915	https://www.aozora.gr.jp/cards/000008/files/18327_ruby_19202.zip
018328	日高十勝の記憶	岩野	泡鳴	旧字旧仮名	NDC 915	https://www.aozora.gr.jp/cards/000137/files/18328_ruby_19201.zip
018329	摩周湖紀行	林	芙美子	旧字旧仮名	NDC 915	https://www.aozora.gr.jp/cards/000291/files/18329_ruby_11050.zip
018330	ワンダ・ブック――少年・少女のために――	ホーソーン	ナサニエル	新字新仮名	NDC K933	https://www.aozora.gr.jp/cards/000905/files/18330_ruby_14073.zip
018332	岡の家	鈴木	三重吉	新字新仮名	NDC K913	https://www.aozora.gr.jp/cards/000107/files/18332_ruby_14429.zip
018333	デイモンとピシアス	鈴木	三重吉	新字新仮名	NDC K913	https://www.aozora.gr.jp/cards/000107/files/18333_ruby_14428.zip
018334	猿かに合戦	楠山	正雄	新字新仮名	NDC K913	https://www.aozora.gr.jp/cards/000329/files/18334_ruby_11929.zip
018335	ねずみの嫁入り	楠山	正雄	新字新仮名	NDC K913	https://www.aozora.gr.jp/cards/000329/files/18335_ruby_11926.zip
018336	文福茶がま	楠山	正雄	新字新仮名	NDC K913	https://www.aozora.gr.jp/cards/000329/files/18336_ruby_11922.zip
018337	金太郎	楠山	正雄	新字新仮名	NDC K913	https://www.aozora.gr.jp/cards/000329/files/18337_ruby_11924.zip
